kanji,freq
殊,1358
畳,1359
融,1360
紫,1361
泳,1362
机,1363
喧,1364
鼓,1365
撫,1366
兼,1367
蒸,1368
飽,1369
淡,1370
誠,1371
噴,1372
奉,1373
挨,1374
拶,1375
胆,1376
項,1377
詩,1378
孤,1379
掴,1380
堅,1381
惨,1382
枝,1383
績,1384
託,1385
株,1386
帽,1387
卑,1388
維,1389
据,1390
鎖,1391
遂,1392
瓶,1393
雇,1394
澄,1395
糖,1396
械,1397
綺,1398
誓,1399
渋,1400
嬉,1401
販,1402
湧,1403
票,1404
廊,1405
膜,1406
浸,1407
桜,1408
菌,1409
翼,1410
慰,1411
伴,1412
籍,1413
慎,1414
坂,1415
凶,1416
漁,1417
均,1418
庁,1419
沙,1420
塔,1421
眺,1422
寿,1423
暑,1424
胞,1425
序,1426
孫,1427
痴,1428
飼,1429
股,1430
扉,1431
却,1432
漫,1433
葬,1434
袖,1435
墓,1436
浜,1437
誕,1438
須,1439
睡,1440
繁,1441
弓,1442
爵,1443
脂,1444
旦,1445
還,1446
巣,1447
縫,1448
粋,1449
概,1450
翌,1451
溢,1452
綱,1453
皿,1454
纏,1455
匹,1456
鍋,1457
虐,1458
湿,1459
岡,1460
枕,1461
滞,1462
枯,1463
苛,1464
粘,1465
幽,1466
斐,1467
筒,1468
芝,1469
狼,1470
餅,1471
履,1472
摩,1473
忌,1474
紋,1475
献,1476
陥,1477
著,1478
患,1479
斜,1480
偏,1481
冒,1482
賀,1483
獲,1484
池,1485
霧,1486
誉,1487
浪,1488
漬,1489
鬱,1490
寧,1491
茂,1492
是,1493
癒,1494
綿,1495
揉,1496
犠,1497
塵,1498
幹,1499
歪,1500
厄,1501
牲,1502
敏,1503
廻,1504
析,1505
卓,1506
智,1507
慈,1508
瞳,1509
虎,1510
亜,1511
冠,1512
潔,1513
仁,1514
勧,1515
疎,1516
怯,1517
鎮,1518
償,1519
腫,1520
壮,1521
妖,1522
艶,1523
猿,1524
鑑,1525
畑,1526
瀬,1527
吊,1528
肥,1529
婆,1530
梅,1531
壇,1532
腸,1533
泡,1534
槍,1535
沿,1536
奈,1537
弥,1538
賭,1539
哲,1540
軒,1541
晶,1542
鉱,1543
励,1544
羊,1545
浄,1546
軟,1547
賃,1548
符,1549
濁,1550
駐,1551
磁,1552
乏,1553
伯,1554
謎,1555
鍛,1556
促,1557
窮,1558
彫,1559
刷,1560
涼,1561
賊,1562
舟,1563
零,1564
胃,1565
塊,1566
芽,1567
嘩,1568
盟,1569
叱,1570
沸,1571
辱,1572
掲,1573
旋,1574
憩,1575
拘,1576
汰,1577
盾,1578
把,1579
漂,1580
翻,1581
痕,1582
此,1583
凡,1584
伺,1585
錯,1586
豚,1587
督,1588
殻,1589
眩,1590
較,1591
署,1592
鐘,1593
貼,1594
巧,1595
唾,1596
喫,1597
崎,1598
妬,1599
慶,1600
胡,1601
之,1602
疾,1603
蒼,1604
潤,1605
鉢,1606
肢,1607
弄,1608
貝,1609
龍,1610
圏,1611
捻,1612
雅,1613
顧,1614
丹,1615
鶏,1616
憤,1617
尖,1618
贈,1619
璧,1620
喰,1621
搔,1622
剛,1623
滴,1624
鈴,1625
襟,1626
侍,1627
熊,1628
芳,1629
旨,1630
乙,1631
遮,1632
牙,1633
叶,1634
傘,1635
亀,1636
紐,1637
募,1638
赦,1639
貯,1640
邦,1641
貌,1642
閣,1643
桃,1644
愉,1645
怠,1646
斉,1647
缶,1648
刈,1649
杖,1650
炉,1651
稽,1652
銘,1653
刊,1654
銅,1655
舐,1656
憲,1657
架,1658
括,1659
喚,1660
笛,1661
稿,1662
軌,1663
稲,1664
其,1665
尚,1666
征,1667
掌,1668
曇,1669
斎,1670
妄,1671
閑,1672
淫,1673
肺,1674
軸,1675
喪,1676
蓄,1677
剝,1678
渦,1679
偵,1680
捉,1681
貞,1682
嘲,1683
冊,1684
糞,1685
洞,1686
衰,1687
粧,1688
墨,1689
牧,1690
狐,1691
騙,1692
擬,1693
辿,1694
醜,1695
億,1696
顕,1697
畜,1698
扇,1699
胴,1700
盲,1701
撤,1702
顎,1703
芋,1704
柳,1705
箇,1706
鼠,1707
憧,1708
湾,1709
朱,1710
丘,1711
徐,1712
阪,1713
猟,1714
牢,1715
噌,1716
餌,1717
囚,1718
悶,1719
煩,1720
併,1721
馳,1722
阻,1723
雀,1724
蘇,1725
垣,1726
枠,1727
邸,1728
咳,1729
盆,1730
蜂,1731
炊,1732
痺,1733
僚,1734
敢,1735
宴,1736
尿,1737
殖,1738
妨,1739
駒,1740
嫉,1741
欧,1742
欺,1743
喋,1744
隷,1745
繊,1746
蜜,1747
鋼,1748
嗅,1749
骸,1750
寛,1751
頻,1752
匠,1753
兎,1754
詮,1755
仙,1756
摺,1757
仇,1758
烏,1759
郵,1760
宜,1761
晒,1762
陶,1763
昧,1764
姓,1765
倫,1766
肘,1767
崇,1768
寮,1769
罵,1770
瓦,1771
尺,1772
挿,1773
醒,1774
侮,1775
膚,1776
爺,1777
懇,1778
濯,1779
妊,1780
糧,1781
俯,1782
涯,1783
懲,1784
巾,1785
孔,1786
蔑,1787
訊,1788
禍,1789
隆,1790
冥,1791
購,1792
痩,1793
躊,1794
躇,1795
髄,1796
箸,1797
珠,1798
剰,1799
棟,1800
頓,1801
悦,1802
摂,1803
錬,1804
釘,1805
逢,1806
附,1807
礎,1808
朗,1809
嵐,1810
渇,1811
錠,1812
沼,1813
貰,1814
僅,1815
鎌,1816
垢,1817
撲,1818
批,1819
蓮,1820
諾,1821
抽,1822
稀,1823
疫,1824
沖,1825
坐,1826
岐,1827
浦,1828
屑,1829
債,1830
悠,1831
詐,1832
峰,1833
滝,1834
菊,1835
漠,1836
畏,1837
訝,1838
嘉,1839
遍,1840
杉,1841
臆,1842
頷,1843
矛,1844
膳,1845
啓,1846
儲,1847
捧,1848
燈,1849
肯,1850
飢,1851
穂,1852
覇,1853
蛮,1854
皺,1855
鉛,1856
汲,1857
呟,1858
宛,1859
壺,1860
乞,1861
兆,1862
需,1863
繕,1864
燥,1865
荘,1866
憑,1867
羨,1868
滲,1869
搾,1870
怨,1871
賑,1872
慕,1873
憐,1874
又,1875
遥,1876
廷,1877
胎,1878
愕,1879
洒,1880
庇,1881
閃,1882
裾,1883
唸,1884
酬,1885
暦,1886
彦,1887
耕,1888
帆,1889
爽,1890
班,1891
穿,1892
囁,1893
蝶,1894
咎,1895
厭,1896
槌,1897
掠,1898
讐,1899
逮,1900
藩,1901
奔,1902
克,1903
紡,1904
勿,1905
溝,1906
甚,1907
楼,1908
貢,1909
禅,1910
撒,1911
桁,1912
栗,1913
叔,1914
鎧,1915
絹,1916
径,1917
貿,1918
奢,1919
陳,1920
崖,1921
披,1922
飴,1923
拙,1924
孝,1925
詫,1926
蘭,1927
伐,1928
辻,1929
紳,1930
轟,1931
溺,1932
妃,1933
髭,1934
弦,1935
鶴,1936
媒,1937
釜,1938
堀,1939
曹,1940
硝,1941
戴,1942
措,1943
詠,1944
喝,1945
塚,1946
琴,1947
笠,1948
惹,1949
腺,1950
稚,1951
舗,1952
螺,1953
藁,1954
塁,1955
煽,1956
謙,1957
鱗,1958
焚,1959
爛,1960
謹,1961
鞭,1962
拗,1963
窺,1964
鳩,1965
篭,1966
姦,1967
薦,1968
吠,1969
些,1970
斑,1971
拐,1972
吟,1973
煎,1974
冴,1975
簿,1976
亭,1977
欄,1978
秩,1979
岳,1980
昭,1981
酢,1982
堵,1983
捲,1984
膣,1985
堕,1986
嗜,1987
昂,1988
慨,1989
蜘,1990
蛛,1991
藍,1992
粛,1993
恒,1994
嵌,1995
艇,1996
傑,1997
侯,1998
鞄,1999
呈,2000
弊,2001
麺,2002
罠,2003
蚊,2004
暫,2005
猪,2006
葛,2007
拓,2008
宵,2009
斗,2010
攣,2011
嗟,2012
愁,2013
培,2014
妥,2015
綴,2016
貪,2017
翔,2018
埃,2019
桶,2020
鷹,2021
譜,2022
只,2023
雌,2024
錆,2025
昏,2026
吾,2027
咽,2028
蕩,2029
筈,2030
贅,2031
霞,2032
遜,2033
萌,2034
耗,2035
餓,2036
竦,2037
庶,2038
捌,2039
絆,2040
藻,2041
萎,2042
凌,2043
伽,2044
蒲,2045
丼,2046
窟,2047
戚,2048
儘,2049
串,2050
酌,2051
緯,2052
綻,2053
衡,2054
諭,2055
峡,2056
刹,2057
曖,2058
猶,2059
薩,2060
芯,2061
腑,2062
棋,2063
閥,2064
棲,2065
賜,2066
搬,2067
陛,2068
迂,2069
咄,2070
栓,2071
臥,2072
郭,2073
佳,2074
牡,2075
屍,2076
朴,2077
郡,2078
穫,2079
朽,2080
韓,2081
尉,2082
泰,2083
奨,2084
腔,2085
霜,2086
卸,2087
逐,2088
勅,2089
勲,2090
勃,2091
狗,2092
苔,2093
挫,2094
羞,2095
蒙,2096
禄,2097
